Unnamed: 0,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
140,evening,Tuesday,STYLE,SINEAD,STYLE,SINEAD,1,70.0,Tuesday,afternoon,0,0,70,1,1,0,0,0,0,0,35
141,afternoon,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,154.25,Tuesday,evening,0,1,160,2,2,0,1,0,0,0,22
142,afternoon,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,90.0,Wednesday,afternoon,0,0,250,3,3,0,1,0,0,0,48
146,morning,Sunday,STYLE,BECKY,STYLE,SINEAD,1,35.0,Saturday,morning,0,0,35,1,1,0,0,0,0,0,43
147,morning,Saturday,STYLE,BECKY,STYLE,BECKY,1,50.0,Sunday,morning,0,0,85,2,2,0,0,0,0,0,41
150,morning,Friday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,94
152,afternoon,Tuesday,STYLE,JJ,STYLE,JJ,1,82.0,Thursday,morning,0,0,82,1,1,0,0,0,0,0,54
155,morning,Wednesday,MISC,SINEAD,COLOR,SINEAD,2,115.0,Wednesday,afternoon,0,1,115,2,1,1,2,0,0,0,35
156,afternoon,Friday,STYLE,BECKY,MISC,SINEAD,1,0.0,Wednesday,morning,0,0,115,3,1,1,2,0,0,0,37
158,afternoon,Saturday,STYLE,SINEAD,STYLE,SINEAD,1,35.0,Thursday,evening,0,0,35,1,1,0,0,0,0,0,23
159,morning,Friday,STYLE,BECKY,STYLE,SINEAD,1,35.0,Saturday,afternoon,0,0,70,2,2,0,0,0,0,0,20
160,evening,Thursday,STYLE,BECKY,STYLE,BECKY,1,50.0,Friday,morning,0,0,120,3,3,0,0,0,0,0,20
161,morning,Thursday,STYLE,BECKY,STYLE,BECKY,1,50.0,Thursday,evening,0,0,170,4,4,0,0,0,0,0,21
165,morning,Thursday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,37
166,afternoon,Sunday,STYLE,JJ,STYLE,JJ,1,102.0,Thursday,morning,0,0,184,2,2,0,0,0,0,0,38
167,afternoon,Saturday,STYLE,JJ,STYLE,JJ,1,125.4,Sunday,afternoon,0,1,286,3,3,0,1,0,0,0,20
170,evening,Thursday,STYLE,SINEAD,STYLE,SINEAD,1,35.0,Thursday,evening,0,0,35,1,1,0,0,0,0,0,28
171,evening,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,55.0,Thursday,evening,0,0,90,2,2,0,0,0,0,0,27
173,morning,Tuesday,STYLE,JJ,STYLE,JJ,1,82.0,Tuesday,afternoon,0,0,82,1,1,0,0,0,0,0,42
174,morning,Tuesday,STYLE,JJ,STYLE,JJ,1,102.0,Tuesday,morning,0,0,184,2,2,0,0,0,0,0,49
176,afternoon,Thursday,STYLE,JJ,STYLE,JJ,1,82.0,Thursday,morning,0,0,82,1,1,0,0,0,0,0,63
178,morning,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,70.0,Wednesday,afternoon,0,0,70,1,1,0,0,0,0,0,55
179,afternoon,Thursday,COLOR,JOANNE,STYLE,BECKY,1,80.0,Tuesday,morning,0,0,150,2,2,0,0,0,0,0,2
182,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,170.0,Saturday,morning,0,1,170,2,1,1,2,0,0,0,33
183,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,170.0,Saturday,morning,0,1,170,2,1,1,2,0,0,0,33
184,afternoon,Thursday,STYLE,KELLY,COLOR,JOANNE,2,195.0,Thursday,morning,0,1,365,4,2,2,4,0,0,0,35
185,morning,Thursday,COLOR,JOANNE,COLOR,JOANNE,2,195.0,Thursday,morning,0,1,365,4,2,2,4,0,0,0,35
187,afternoon,Tuesday,STYLE,HOUSE,STYLE,BECKY,1,60.0,Friday,morning,0,0,60,1,1,0,0,0,0,0,11
188,afternoon,Thursday,STYLE,BECKY,STYLE,HOUSE,1,230.0,Tuesday,afternoon,0,0,290,2,2,0,0,0,0,1,9
189,afternoon,Tuesday,STYLE,BECKY,STYLE,BECKY,1,0.0,Thursday,afternoon,1,0,340,3,3,0,0,0,1,1,5
